aa	AA-1007-TPA-MIA	12/01/2011 01:55 PM	12/01/2011 02:07 PM	F78	12/01/2011 03:00 PM	12/01/2011 02:57 PM	D5
myrateplan	CO-1097-IAH-LAX	12/1/11 1:05 PM (-06:00)			12/1/11 2:53 PM (-08:00)		
helloflight	CO-1097-IAH-LAX	12/1/11 1:05 PM (-06:00)			12/1/11 2:53 PM (-08:00)		
flytecomm	CO-1097-IAH-LAX	12/1/11 1:05 PM (-06:00)			12/1/11 2:53 PM (-08:00)		
flightaware	CO-1097-IAH-LAX	2011-12-01 01:05PM CST	2011-12-01 01:19PM CST	 22 	2011-12-01 02:23PM PST	2011-12-01 02:27PM PST	 64 
wunderground	CO-1097-IAH-LAX	2011-12-01 01:05PM CST	2011-12-01 01:19PM CST	 22 	2011-12-01 02:23PM PST	2011-12-01 02:27PM PST	 64 
flights	CO-1097-IAH-LAX		2011-12-01 01:05 PM	22		2011-12-01 02:36 PM	64
businesstravellogue	CO-1097-IAH-LAX		2011-12-01 01:05 PM	22		2011-12-01 02:36 PM	64
flylouisville	CO-1097-IAH-LAX		2011-12-01 01:05 PM	22		2011-12-01 02:36 PM	64
flightstats	CO-1097-IAH-LAX	2011-12-01 1:05 PM	2011-12-01 1:05 PM		2011-12-01 2:53 PM	2011-12-01 2:36 PM	
quicktrip	CO-1097-IAH-LAX	2011-12-01 1:05 PM	2011-12-01 1:05 PM		2011-12-01 2:53 PM	2011-12-01 2:36 PM	
flightview	CO-1097-IAH-LAX		1:19 PMDec 01			2:36 PMDec 01	
panynj	CO-1097-IAH-LAX		1:19 PMDec 01			2:36 PMDec 01	
gofox	CO-1097-IAH-LAX		1:19 PMDec 01			2:36 PMDec 01	
foxbusiness	CO-1097-IAH-LAX		1:19 PMDec 01			2:36 PMDec 01	
allegiantair	CO-1097-IAH-LAX		1:19 PMDec 01			2:36 PMDec 01	
boston	CO-1097-IAH-LAX		1:19 PMDec 01			2:28 PMDec 01	
orbitz	CO-1097-IAH-LAX	1:05pDec 1	1:05pDec 1	 22	2:53pDec 1	2:36pDec 1	 64
mytripandmore	CO-1097-IAH-LAX	1:05pDec 1	1:05pDec 1	 22	2:53pDec 1	2:36pDec 1	 64
flightwise	CO-1097-IAH-LAX	2011-12-01 01:05PM CST	2011-12-01 01:19PM CST	 22 	2011-12-01 02:23PM PST	2011-12-01 02:27PM PST	 64 
flightarrival	CO-1097-IAH-LAX		1:19 PMDec 01			2:28 PMDec 01	
ua	UA-2546-CLT-PBI	Thu, Dec 1 1:25 PM	Thu, Dec 1 1:25 PM            Delayed	C12	Thu, Dec 1 3:19 PM	Thu, Dec 1 3:00 PM	B9
airtravelcenter	UA-2546-CLT-PBI		12/1/11 1:41 PM (-05:00)			12/1/11 2:59 PM (-05:00)	
myrateplan	UA-2546-CLT-PBI		12/1/11 1:41 PM (-05:00)			12/1/11 2:59 PM (-05:00)	
helloflight	UA-2546-CLT-PBI		12/1/11 1:41 PM (-05:00)			12/1/11 2:59 PM (-05:00)	
flytecomm	UA-2546-CLT-PBI		12/1/11 1:41 PM (-05:00)			12/1/11 2:59 PM (-05:00)	
flights	UA-2546-CLT-PBI		2011-12-01 01:21 PM	C12		2011-12-01 03:00 PM	B9
businesstravellogue	UA-2546-CLT-PBI		2011-12-01 01:21 PM	C12		2011-12-01 03:00 PM	B9
flylouisville	UA-2546-CLT-PBI		2011-12-01 01:21 PM	C12		2011-12-01 03:00 PM	B9
flightstats	UA-2546-CLT-PBI	2011-12-01 1:25 PM	2011-12-01 1:21 PM		2011-12-01 3:19 PM	2011-12-01 3:00 PM	
quicktrip	UA-2546-CLT-PBI	2011-12-01 1:25 PM	2011-12-01 1:21 PM		2011-12-01 3:19 PM	2011-12-01 3:00 PM	
flightview	UA-2546-CLT-PBI		1:41 PMDec 01			2:56 PMDec 01	
panynj	UA-2546-CLT-PBI		1:41 PMDec 01			2:56 PMDec 01	
gofox	UA-2546-CLT-PBI		1:41 PMDec 01			2:56 PMDec 01	
foxbusiness	UA-2546-CLT-PBI		1:41 PMDec 01			2:56 PMDec 01	
allegiantair	UA-2546-CLT-PBI		1:41 PMDec 01			2:56 PMDec 01	
boston	UA-2546-CLT-PBI		1:41 PMDec 01			2:56 PMDec 01	
orbitz	UA-2546-CLT-PBI	1:25pDec 1	1:21pDec 1	 -	3:19pDec 1	3:00pDec 1	 -
usatoday	UA-2546-CLT-PBI	2011-12-01 1:25 PM	2011-12-01 1:21 PM		2011-12-01 3:19 PM	2011-12-01 3:00 PM	
ua	UA-5910-MEM-DEN	Thu, Dec 1 1:43 PM	Thu, Dec 1 1:35 PM	--	Thu, Dec 1 3:31 PM	Thu, Dec 1 3:09 PM	B57
airtravelcenter	UA-5910-MEM-DEN	12/1/11 1:43 PM (-06:00)			12/1/11 3:31 PM (-07:00)		
myrateplan	UA-5910-MEM-DEN	12/1/11 1:43 PM (-06:00)			12/1/11 3:31 PM (-07:00)		
helloflight	UA-5910-MEM-DEN	12/1/11 1:43 PM (-06:00)			12/1/11 3:31 PM (-07:00)		
flytecomm	UA-5910-MEM-DEN	12/1/11 1:43 PM (-06:00)			12/1/11 3:31 PM (-07:00)		
flights	UA-5910-MEM-DEN		2011-12-01 01:35 PM			2011-12-01 03:09 PM	B57
businesstravellogue	UA-5910-MEM-DEN		2011-12-01 01:35 PM			2011-12-01 03:09 PM	B57
flylouisville	UA-5910-MEM-DEN		2011-12-01 01:35 PM			2011-12-01 03:09 PM	B57
flightstats	UA-5910-MEM-DEN	2011-12-01 1:43 PM	2011-12-01 1:35 PM		2011-12-01 3:31 PM	2011-12-01 3:09 PM	
quicktrip	UA-5910-MEM-DEN	2011-12-01 1:43 PM	2011-12-01 1:35 PM		2011-12-01 3:31 PM	2011-12-01 3:09 PM	
flightview	UA-5910-MEM-DEN		1:47 PMDec 01			3:09 PMDec 01	
panynj	UA-5910-MEM-DEN		1:47 PMDec 01			3:09 PMDec 01	
gofox	UA-5910-MEM-DEN		1:47 PMDec 01			3:09 PMDec 01	
foxbusiness	UA-5910-MEM-DEN		1:47 PMDec 01			3:09 PMDec 01	
allegiantair	UA-5910-MEM-DEN		1:47 PMDec 01			3:09 PMDec 01	
boston	UA-5910-MEM-DEN		1:47 PMDec 01			3:06 PMDec 01	
travelocity	UA-5910-MEM-DEN	Dec 01 - Not Available	Dec 01 - 1:47pm	CHK	Dec 01 - Not Available	Dec 01 - 3:09pm	B57
orbitz	UA-5910-MEM-DEN	1:43pDec 1	1:35pDec 1	 -	3:31pDec 1	3:09pDec 1	 B57
weather	UA-5910-MEM-DEN	2011-12-01 01:43 PM			2011-12-01 03:31 PM		
den	UA-5910-MEM-DEN				2011-12-01 3:31 PM		B57
usatoday	UA-5910-MEM-DEN		1:47 PMDec 01			3:06 PMDec 01	
aa	AA-637-ORD-LAX	12/01/2011 04:40 PM	12/01/2011 04:56 PM	K5	12/01/2011 07:10 PM		41
airtravelcenter	AA-637-ORD-LAX		12/1/11 4:57 PM (-06:00)			12/1/11 7:07 PM (-08:00)	
myrateplan	AA-637-ORD-LAX		12/1/11 4:57 PM (-06:00)			12/1/11 7:07 PM (-08:00)	
helloflight	AA-637-ORD-LAX		12/1/11 4:57 PM (-06:00)			12/1/11 7:07 PM (-08:00)	
flytecomm	AA-637-ORD-LAX		12/1/11 4:57 PM (-06:00)			12/1/11 7:07 PM (-08:00)	
flightaware	AA-637-ORD-LAX	2011-12-01 04:40PM CST	2011-12-01 04:56PM CST	 K5 	2011-12-01 06:46PM PST	2011-12-01 07:04PM PST	 41 
wunderground	AA-637-ORD-LAX	2011-12-01 04:40PM CST	2011-12-01 04:56PM CST	 K5 	2011-12-01 06:46PM PST	2011-12-01 07:04PM PST	 41 
flights	AA-637-ORD-LAX	04:40 PM  Thu 01-Dec-2011		K5	07:10 PM  Thu 01-Dec-2011		48A
businesstravellogue	AA-637-ORD-LAX	04:40 PM  Thu 01-Dec-2011		K5	07:10 PM  Thu 01-Dec-2011		48A
flylouisville	AA-637-ORD-LAX	04:40 PM  Thu 01-Dec-2011		K5	07:10 PM  Thu 01-Dec-2011		48A
world-flight-tracker	AA-637-ORD-LAX	2011-12-01 4:40 PM	2011-12-01 4:56 PM		2011-12-01 7:10 PM	2011-12-01 7:10 PM (Estimated)	
flightview	AA-637-ORD-LAX	4:40 PM, Dec 01	4:57 PM, Dec 01		7:10 PM, Dec 01		
panynj	AA-637-ORD-LAX	4:40 PM, Dec 01	4:57 PM, Dec 01		7:10 PM, Dec 01		
gofox	AA-637-ORD-LAX	4:40 PM, Dec 01	4:57 PM, Dec 01		7:10 PM, Dec 01		
foxbusiness	AA-637-ORD-LAX	4:40 PM, Dec 01	4:57 PM, Dec 01		7:10 PM, Dec 01		
allegiantair	AA-637-ORD-LAX	4:40 PM, Dec 01	4:57 PM, Dec 01		7:10 PM, Dec 01		
boston	AA-637-ORD-LAX	4:40 PM, Dec 01	4:57 PM, Dec 01		7:10 PM, Dec 01	7:03 PM, Dec 01&nbsp(Estimated)	
travelocity	AA-637-ORD-LAX	Dec 01 - 4:40pm	Dec 01 - 4:40pm	K5/T3	Dec 01 - 7:10pm	Dec 01 - 7:10pm*	41/T4
orbitz	AA-637-ORD-LAX	4:40pDec 1	4:40pDec 1	 K5	7:10pDec 1		 41
weather	AA-637-ORD-LAX	2011-12-01 04:40 PM	2011-12-01 04:57 PM		2011-12-01 07:10 PM	2011-12-01 07:07 PM	
usatoday	AA-637-ORD-LAX	2011-12-01 04:40 PM	2011-12-01 04:57 PM		2011-12-01 07:10 PM	2011-12-01 07:07 PM	
ua	UA-1406-IAH-LAX	Thu, Dec 1 8:51 PM	Thu, Dec 1 8:54 PM            Delayed	E22	Thu, Dec 1 10:40 PM	Thu, Dec 1 10:29 PM	62
flightexplorer	UA-1406-IAH-LAX		12/1/2011 9:09PM CST			12/1/2011 10:15PM PST	
airtravelcenter	UA-1406-IAH-LAX		12/1/11 9:10 PM (-06:00)			12/1/11 10:17 PM (-08:00)	
myrateplan	UA-1406-IAH-LAX		12/1/11 9:10 PM (-06:00)			12/1/11 10:17 PM (-08:00)	
helloflight	UA-1406-IAH-LAX		12/1/11 9:10 PM (-06:00)			12/1/11 10:17 PM (-08:00)	
flytecomm	UA-1406-IAH-LAX		12/1/11 9:10 PM (-06:00)			12/1/11 10:17 PM (-08:00)	
flightaware	UA-1406-IAH-LAX	2011-12-01 08:51PM CST	2011-12-01 09:10PM CST	 E22 	2011-12-01 10:30PM PST	2011-12-01 10:17PM PST	 62 
wunderground	UA-1406-IAH-LAX	2011-12-01 08:51PM CST	2011-12-01 09:10PM CST	 E22 	2011-12-01 10:30PM PST	2011-12-01 10:17PM PST	 62 
flights	UA-1406-IAH-LAX		2011-12-01 08:54 PM	22		2011-12-01 10:40 PM	62
businesstravellogue	UA-1406-IAH-LAX		2011-12-01 08:54 PM	22		2011-12-01 10:40 PM	62
flylouisville	UA-1406-IAH-LAX		2011-12-01 08:54 PM	22		2011-12-01 10:40 PM	62
flightstats	UA-1406-IAH-LAX	2011-12-01 8:51 PM	2011-12-01 8:54 PM		2011-12-01 10:40 PM	2011-12-01 10:25 PM (Estimated)	
quicktrip	UA-1406-IAH-LAX	2011-12-01 8:51 PM	2011-12-01 8:54 PM		2011-12-01 10:40 PM	2011-12-01 10:25 PM (Estimated)	
flightview	UA-1406-IAH-LAX		9:10 PMDec 01			10:22 PMDec 01	
panynj	UA-1406-IAH-LAX		9:10 PMDec 01			10:22 PMDec 01	
gofox	UA-1406-IAH-LAX		9:10 PMDec 01			10:22 PMDec 01	
foxbusiness	UA-1406-IAH-LAX		9:10 PMDec 01			10:22 PMDec 01	
allegiantair	UA-1406-IAH-LAX		9:10 PMDec 01			10:22 PMDec 01	
boston	UA-1406-IAH-LAX		9:10 PMDec 01			10:22 PMDec 01	
orbitz	UA-1406-IAH-LAX	8:51pDec 1	8:54pDec 1	 E22	10:10pDec 1		 62
weather	UA-1406-IAH-LAX	2011-12-01 08:51 PM			2011-12-01 10:40 PM		
usatoday	UA-1406-IAH-LAX		9:10 PMDec 01			10:22 PMDec 01	
ua	UA-4140-MSP-EWR	Thu, Dec 1 9:50 AM	Thu, Dec 1 3:54 PM            Delayed	E7	Thu, Dec 1 1:27 PM	Thu, Dec 1 7:22 PM	A20
airtravelcenter	UA-4140-MSP-EWR	12/1/11 9:50 AM (-06:00)			12/1/11 1:27 PM (-05:00)		
myrateplan	UA-4140-MSP-EWR	12/1/11 9:50 AM (-06:00)			12/1/11 1:27 PM (-05:00)		
helloflight	UA-4140-MSP-EWR	12/1/11 9:50 AM (-06:00)			12/1/11 1:27 PM (-05:00)		
flytecomm	UA-4140-MSP-EWR	12/1/11 9:50 AM (-06:00)			12/1/11 1:27 PM (-05:00)		
flights	UA-4140-MSP-EWR		2011-12-01 03:54 PM	E7		2011-12-01 01:27 PM	20
businesstravellogue	UA-4140-MSP-EWR		2011-12-01 03:54 PM	E7		2011-12-01 01:27 PM	20
flylouisville	UA-4140-MSP-EWR		2011-12-01 03:54 PM	E7		2011-12-01 01:27 PM	20
flightstats	UA-4140-MSP-EWR	2011-12-01 9:50 AM	2011-12-01 3:54 PM		2011-12-01 1:27 PM	2011-12-01 7:22 PM (Estimated)	
quicktrip	UA-4140-MSP-EWR	2011-12-01 9:50 AM	2011-12-01 3:54 PM		2011-12-01 1:27 PM	2011-12-01 7:22 PM (Estimated)	
flightview	UA-4140-MSP-EWR		4:08 PMDec 01			7:13 PMDec 01	
panynj	UA-4140-MSP-EWR		4:08 PMDec 01			7:13 PMDec 01	
gofox	UA-4140-MSP-EWR		4:08 PMDec 01			7:13 PMDec 01	
foxbusiness	UA-4140-MSP-EWR		4:08 PMDec 01			7:13 PMDec 01	
allegiantair	UA-4140-MSP-EWR		4:08 PMDec 01			7:13 PMDec 01	
boston	UA-4140-MSP-EWR		4:08 PMDec 01			7:13 PMDec 01	
orbitz	UA-4140-MSP-EWR	9:50aDec 1	3:54pDec 1	 -	1:17aDec 2		 -
usatoday	UA-4140-MSP-EWR	2011-12-01 9:50 AM	2011-12-01 3:54 PM		2011-12-01 1:27 PM	2011-12-01 7:22 PM (Estimated)	
mytripandmore	UA-4140-MSP-EWR	9:50aDec 1	3:54pDec 1	 -	1:17aDec 2		 -
CO	CO-1239-IAH-LAX	Thu., Dec.01, 2011 9:30 a.m.	Thu., Dec.01, 2011 9:24 a.m.		Thu., Dec.01, 2011 11:16 a.m.	Thu., Dec.01, 2011 11:11 a.m.	
flightexplorer	CO-1239-IAH-LAX		12/1/2011 9:44AM CST			12/1/2011 11:03AM PST	
airtravelcenter	CO-1239-IAH-LAX	12/1/11 9:30 AM (-06:00)			12/1/11 11:16 AM (-08:00)		
myrateplan	CO-1239-IAH-LAX	12/1/11 9:30 AM (-06:00)			12/1/11 11:16 AM (-08:00)		
helloflight	CO-1239-IAH-LAX	12/1/11 9:30 AM (-06:00)			12/1/11 11:16 AM (-08:00)		
flytecomm	CO-1239-IAH-LAX	12/1/11 9:30 AM (-06:00)			12/1/11 11:16 AM (-08:00)		
flightaware	CO-1239-IAH-LAX	2011-12-01 09:30AM CST	2011-12-01 09:45AM CST	 44 	2011-12-01 10:57AM PST	2011-12-01 10:59AM PST	 62 
wunderground	CO-1239-IAH-LAX	2011-12-01 09:30AM CST	2011-12-01 09:45AM CST	 44 	2011-12-01 10:57AM PST	2011-12-01 10:59AM PST	 62 
flights	CO-1239-IAH-LAX	09:30 AM  Thu 01-Dec-2011	09:24 AM  Thu 01-Dec-2011	44	11:16 AM  Thu 01-Dec-2011	11:11 AM  Thu 01-Dec-2011	62
businesstravellogue	CO-1239-IAH-LAX	09:30 AM  Thu 01-Dec-2011	09:24 AM  Thu 01-Dec-2011	44	11:16 AM  Thu 01-Dec-2011	11:11 AM  Thu 01-Dec-2011	62
flylouisville	CO-1239-IAH-LAX	09:30 AM  Thu 01-Dec-2011	09:24 AM  Thu 01-Dec-2011	44	11:16 AM  Thu 01-Dec-2011	11:11 AM  Thu 01-Dec-2011	62
flightstats	CO-1239-IAH-LAX	2011-12-01 9:30 AM	2011-12-01 9:24 AM		2011-12-01 11:16 AM	2011-12-01 11:11 AM	
quicktrip	CO-1239-IAH-LAX	2011-12-01 9:30 AM	2011-12-01 9:24 AM		2011-12-01 11:16 AM	2011-12-01 11:11 AM	
world-flight-tracker	CO-1239-IAH-LAX	2011-12-01 9:30 AM	2011-12-01 9:24 AM		2011-12-01 11:16 AM	2011-12-01 11:11 AM	
flightview	CO-1239-IAH-LAX	9:30 AM, Dec 01	9:45 AM, Dec 01	Term C - C44	11:16 AM, Dec 01	11:11 AM, Dec 01	Term 6 - 62
panynj	CO-1239-IAH-LAX	9:30 AM, Dec 01	9:45 AM, Dec 01	Term C - C44	11:16 AM, Dec 01	11:11 AM, Dec 01	Term 6 - 62
gofox	CO-1239-IAH-LAX	9:30 AM, Dec 01	9:45 AM, Dec 01		11:16 AM, Dec 01	11:11 AM, Dec 01	
foxbusiness	CO-1239-IAH-LAX	9:30 AM, Dec 01	9:45 AM, Dec 01	Term C - C44	11:16 AM, Dec 01	11:11 AM, Dec 01	Term 6 - 62
allegiantair	CO-1239-IAH-LAX	9:30 AM, Dec 01	9:45 AM, Dec 01	Term C - C44	11:16 AM, Dec 01	11:11 AM, Dec 01	Term 6 - 62
boston	CO-1239-IAH-LAX	9:30 AM, Dec 01	9:45 AM, Dec 01		11:16 AM, Dec 01	11:00 AM, Dec 01	
travelocity	CO-1239-IAH-LAX	Dec 01 - 9:30am	Dec 01 - 9:24am	C-44	Dec 01 - 11:16am	Dec 01 - 11:11am	62
orbitz	CO-1239-IAH-LAX	9:30aDec 1	9:24aDec 1	 C-44	11:16aDec 1	11:11aDec 1	 62
weather	CO-1239-IAH-LAX	2011-12-01 09:30 AM			2011-12-01 11:16 AM		
ifly	CO-1239-IAH-LAX	2011-12-01 9:30 AM	2011-12-01 9:24 AM		2011-12-01 11:16 AM	2011-12-01 11:11 AM	
mytripandmore	CO-1239-IAH-LAX	9:30aDec 1	9:24aDec 1	 C-44	11:16aDec 1	11:11aDec 1	 62
ua	UA-1009-IAH-BOG	Thu, Dec 1 11:59 PM	Thu, Dec 1 11:59 PM            On Time	E7	Fri, Dec 2 5:54 AM	Fri, Dec 2 5:54 AM	--
airtravelcenter	UA-1009-IAH-BOG	12/1/11 11:59 PM (-06:00)			12/2/11 5:54 AM (-05:00)		
myrateplan	UA-1009-IAH-BOG	12/1/11 11:59 PM (-06:00)			12/2/11 5:54 AM (-05:00)		
helloflight	UA-1009-IAH-BOG	12/1/11 11:59 PM (-06:00)			12/2/11 5:54 AM (-05:00)		
flytecomm	UA-1009-IAH-BOG	12/1/11 11:59 PM (-06:00)			12/2/11 5:54 AM (-05:00)		
flights	UA-1009-IAH-BOG	2011-12-01 11:59 PM		7	2011-12-01 05:54 AM		
businesstravellogue	UA-1009-IAH-BOG	2011-12-01 11:59 PM		7	2011-12-01 05:54 AM		
flylouisville	UA-1009-IAH-BOG	2011-12-01 11:59 PM		7	2011-12-01 05:54 AM		
flightview	UA-1009-IAH-BOG	11:59 PMDec 01			5:51 AMDec 02		
panynj	UA-1009-IAH-BOG	11:59 PMDec 01			5:51 AMDec 02		
gofox	UA-1009-IAH-BOG	11:59 PMDec 01			5:51 AMDec 02		
foxbusiness	UA-1009-IAH-BOG	11:59 PMDec 01			5:51 AMDec 02		
allegiantair	UA-1009-IAH-BOG	11:59 PMDec 01			5:51 AMDec 02		
boston	UA-1009-IAH-BOG		12:19 AMDec 01			5:28 AMDec 01	
boston	UA-1009-IAH-BOG	11:59 PMDec 01			5:29 AMDec 02		
orbitz	UA-1009-IAH-BOG	11:59pDec 1		 E7	5:48aDec 2		 -
usatoday	UA-1009-IAH-BOG	11:59 PMDec 01			5:29 AMDec 02		
mytripandmore	UA-1009-IAH-BOG	11:59pDec 1		 E7	5:48aDec 2		 -
flightarrival	UA-1009-IAH-BOG	11:59 PMDec 01			5:29 AMDec 02		
ua	UA-1430-DEN-CLE	Thu, Dec 1 7:20 PM	Thu, Dec 1 7:15 PM	B16	Fri, Dec 2 12:06 AM	Fri, Dec 2 11:59 PM	C08
flightexplorer	UA-1430-DEN-CLE		12/1/2011 7:48PM MST			12/1/2011 11:53PM EST	
airtravelcenter	UA-1430-DEN-CLE	12/1/11 7:20 PM (-07:00)			12/2/11 12:06 AM (-05:00)		
myrateplan	UA-1430-DEN-CLE	12/1/11 7:20 PM (-07:00)			12/2/11 12:06 AM (-05:00)		
helloflight	UA-1430-DEN-CLE	12/1/11 7:20 PM (-07:00)			12/2/11 12:06 AM (-05:00)		
flytecomm	UA-1430-DEN-CLE	12/1/11 7:20 PM (-07:00)			12/2/11 12:06 AM (-05:00)		
flightaware	UA-1430-DEN-CLE	2011-12-01 07:20PM MST	2011-12-01 07:50PM MST	 B16 	2011-12-01 11:32PM EST	2011-12-01 11:54PM EST	 C8 
wunderground	UA-1430-DEN-CLE	2011-12-01 07:20PM MST	2011-12-01 07:50PM MST	 B16 	2011-12-01 11:32PM EST	2011-12-01 11:54PM EST	 C8 
flights	UA-1430-DEN-CLE	07:20 PM  Thu 01-Dec-2011		B16	12:06 AM  Fri 02-Dec-2011		C8
businesstravellogue	UA-1430-DEN-CLE	07:20 PM  Thu 01-Dec-2011		B16	12:06 AM  Fri 02-Dec-2011		C8
flylouisville	UA-1430-DEN-CLE	07:20 PM  Thu 01-Dec-2011		B16	12:06 AM  Fri 02-Dec-2011		C8
world-flight-tracker	UA-1430-DEN-CLE	2011-12-01 7:20 PM	2011-12-01 7:15 PM		2011-12-01 12:06 AM	2011-12-01 11:59 PM (Estimated)	
flightview	UA-1430-DEN-CLE	7:20 PM, Dec 01	7:50 PM, Dec 01		12:06 AM, Dec 02		
panynj	UA-1430-DEN-CLE	7:20 PM, Dec 01	7:50 PM, Dec 01		12:06 AM, Dec 02		
gofox	UA-1430-DEN-CLE	7:20 PM, Dec 01	7:50 PM, Dec 01		12:06 AM, Dec 02		
foxbusiness	UA-1430-DEN-CLE	7:20 PM, Dec 01	7:50 PM, Dec 01		12:06 AM, Dec 02		
allegiantair	UA-1430-DEN-CLE	7:20 PM, Dec 01	7:50 PM, Dec 01		12:06 AM, Dec 02		
boston	UA-1430-DEN-CLE	7:20 PM, Dec 01	7:50 PM, Dec 01		12:06 AM, Dec 02	11:53 PM, Dec 01&nbsp(Estimated)	
travelocity	UA-1430-DEN-CLE	Dec 01 - 7:20pm	Dec 01 - Contact Airline	Not provided by airline	Dec 02 - 12:06am	Dec 02 - Contact Airline	Not provided by airline
orbitz	UA-1430-DEN-CLE	7:20pDec 1	7:15pDec 1	 B16	11:52pDec 1		 C08
weather	UA-1430-DEN-CLE	2011-12-01 07:20 PM			2011-12-01 12:06 AM		
flightarrival	UA-1430-DEN-CLE	7:20 PM, Dec 01	7:50 PM, Dec 01		12:06 AM, Dec 02	11:53 PM, Dec 01&nbsp(Estimated)	
ua	UA-86-PVG-EWR	Thu, Dec 1 4:55 PM	Thu, Dec 1 4:44 PM	75	Thu, Dec 1 6:20 PM	Thu, Dec 1 4:52 PM	C126
airtravelcenter	UA-86-PVG-EWR	12/1/11 4:55 PM (+08:00)			12/1/11 6:20 PM (-05:00)		
myrateplan	UA-86-PVG-EWR	12/1/11 4:55 PM (+08:00)			12/1/11 6:20 PM (-05:00)		
helloflight	UA-86-PVG-EWR	12/1/11 4:55 PM (+08:00)			12/1/11 6:20 PM (-05:00)		
flytecomm	UA-86-PVG-EWR	12/1/11 4:55 PM (+08:00)			12/1/11 6:20 PM (-05:00)		
flights	UA-86-PVG-EWR		2011-12-01 04:48 PM	D75		2011-12-01 04:52 PM	126
businesstravellogue	UA-86-PVG-EWR		2011-12-01 04:48 PM	D75		2011-12-01 04:52 PM	126
flylouisville	UA-86-PVG-EWR		2011-12-01 04:48 PM	D75		2011-12-01 04:52 PM	126
flightview	UA-86-PVG-EWR		4:55 PMDec 01			4:43 PMDec 01	
panynj	UA-86-PVG-EWR		4:55 PMDec 01			4:43 PMDec 01	
gofox	UA-86-PVG-EWR		4:55 PMDec 01			4:43 PMDec 01	
foxbusiness	UA-86-PVG-EWR		4:55 PMDec 01			4:43 PMDec 01	
allegiantair	UA-86-PVG-EWR		4:55 PMDec 01			4:43 PMDec 01	
boston	UA-86-PVG-EWR		3:55 AMDec 01			4:43 PMDec 01	
travelocity	UA-86-PVG-EWR	Dec 01 - 4:55pm	Dec 01 - Contact Airline	Not provided by airline	Dec 01 - 6:20pm	Dec 01 - Contact Airline	Not provided by airline
orbitz	UA-86-PVG-EWR	4:55pDec 1	4:48pDec 1	 75	6:20pDec 1	4:52pDec 1	 C126
weather	UA-86-PVG-EWR	2011-12-01 04:55 PM			2011-12-01 06:20 PM		
mytripandmore	UA-86-PVG-EWR	4:55pDec 1	4:48pDec 1	 75	6:20pDec 1	4:52pDec 1	 C126
ua	UA-893-BOS-SFO	Thu, Dec 1 6:10 AM	Thu, Dec 1 6:07 AM	C16	Thu, Dec 1 10:04 AM	Thu, Dec 1 10:09 AM	83
flightexplorer	UA-893-BOS-SFO		12/1/2011 6:24AM EST			12/1/2011 9:25AM PST	
airtravelcenter	UA-893-BOS-SFO		12/1/11 6:24 AM (-05:00)			12/1/11 9:25 AM (-08:00)	
myrateplan	UA-893-BOS-SFO		12/1/11 6:24 AM (-05:00)			12/1/11 9:25 AM (-08:00)	
helloflight	UA-893-BOS-SFO		12/1/11 6:24 AM (-05:00)			12/1/11 9:25 AM (-08:00)	
flytecomm	UA-893-BOS-SFO		12/1/11 6:24 AM (-05:00)			12/1/11 9:25 AM (-08:00)	
flights	UA-893-BOS-SFO		2011-12-01 06:07 AM	C16		2011-12-01 10:09 AM	83
businesstravellogue	UA-893-BOS-SFO		2011-12-01 06:07 AM	C16		2011-12-01 10:09 AM	83
flylouisville	UA-893-BOS-SFO		2011-12-01 06:07 AM	C16		2011-12-01 10:09 AM	83
flightstats	UA-893-BOS-SFO	2011-12-01 6:10 AM	2011-12-01 6:07 AM		2011-12-01 10:04 AM	2011-12-01 10:09 AM	
quicktrip	UA-893-BOS-SFO	2011-12-01 6:10 AM	2011-12-01 6:07 AM		2011-12-01 10:04 AM	2011-12-01 10:09 AM	
flightview	UA-893-BOS-SFO		6:25 AMDec 01			10:09 AMDec 01	
panynj	UA-893-BOS-SFO		6:25 AMDec 01			10:09 AMDec 01	
gofox	UA-893-BOS-SFO		6:25 AMDec 01			10:09 AMDec 01	
foxbusiness	UA-893-BOS-SFO		6:25 AMDec 01			10:09 AMDec 01	
allegiantair	UA-893-BOS-SFO		6:25 AMDec 01			10:09 AMDec 01	
boston	UA-893-BOS-SFO		6:25 AMDec 01			9:30 AMDec 01	
travelocity	UA-893-BOS-SFO	Dec 01 - Not Available	Dec 01 - 6:24am	C16	Dec 01 - Not Available	Dec 01 - 10:09am	83
orbitz	UA-893-BOS-SFO	6:10aDec 1	6:07aDec 1	 C16	10:04aDec 1	10:09aDec 1	 83
weather	UA-893-BOS-SFO	2011-12-01 06:10 AM	2011-12-01 06:25 AM		2011-12-01 10:04 AM	2011-12-01 09:25 AM	
sfo	UA-893-BOS-SFO				2011-12-01 10:04 AM		83
mytripandmore	UA-893-BOS-SFO	Dec 01 - Not Available	Dec 01 - 6:24am	C16	Dec 01 - Not Available	Dec 01 - 10:09am	83
flightarrival	UA-893-BOS-SFO	2011-12-01 06:10 AM	2011-12-01 06:25 AM		2011-12-01 10:04 AM	2011-12-01 09:25 AM	
ua	UA-898-IAD-BOS	Thu, Dec 1 9:55 PM	Thu, Dec 1 9:50 PM            On Time	D1	Thu, Dec 1 11:32 PM	Thu, Dec 1 11:03 PM	C20
flightexplorer	UA-898-IAD-BOS		12/1/2011 9:59PM EST			12/1/2011 11:01PM EST	
